SEASON,BUSHES,CABIN,CLOUDS,FLOWERS,GRASS,LAKE,MOUNTAIN,OCEAN,PATH,RIVER,ROCKS,SNOW,SUN,TREES,WATERFALL
1,5,3,4,0,2,7,9,1,0,2,1,2,1,12,0
2,7,1,7,0,7,8,6,2,0,3,2,2,3,13,2
3,4,3,5,0,1,7,5,2,1,2,1,1,0,12,0
4,5,3,5,0,7,8,5,1,1,1,1,2,0,13,0
5,2,0,6,1,7,5,4,2,1,3,3,2,1,10,1
6,6,2,9,0,8,4,4,0,0,6,2,1,0,12,1
7,5,2,10,0,2,5,4,0,1,5,1,3,1,12,2
8,4,6,7,0,6,4,5,0,3,3,3,4,1,12,0
9,7,2,9,0,3,1,9,3,2,5,3,1,1,10,0
10,4,3,9,0,4,5,5,2,2,2,5,3,2,11,1
11,6,1,10,1,4,4,3,1,2,4,4,4,1,12,3
12,7,2,8,0,8,2,8,2,1,8,3,1,2,11,1
13,5,3,8,0,6,5,7,1,2,7,3,2,0,13,0
14,2,0,9,0,6,4,7,1,2,5,1,2,1,12,1
15,2,4,8,0,7,4,4,1,3,2,3,2,1,11,0
16,3,2,7,1,2,4,3,1,1,3,3,3,0,10,2
17,0,2,2,3,5,5,4,1,2,5,3,1,1,12,2
18,4,1,6,0,4,4,4,1,2,6,1,2,1,11,2
19,3,1,4,0,5,3,4,1,1,6,3,5,2,12,3
20,2,2,5,0,2,3,7,1,3,6,3,3,2,12,0
21,1,2,4,1,1,4,6,2,2,4,3,2,2,11,2
22,3,2,4,2,4,1,4,1,1,9,2,2,1,12,3
23,5,3,3,0,6,5,4,1,2,5,3,4,2,12,3
24,3,3,4,0,4,4,5,1,1,4,4,4,1,12,1
25,4,1,4,0,1,7,4,1,1,3,2,2,1,11,3
26,3,2,4,1,6,5,5,1,2,4,2,3,1,11,1
27,2,4,3,1,3,4,4,1,1,3,4,4,5,12,1
28,4,1,3,0,6,4,5,1,2,1,1,2,4,12,1
29,6,3,3,1,5,7,6,1,2,2,1,3,1,11,1
30,4,3,5,0,4,6,5,1,2,3,2,1,1,12,2
31,2,2,4,0,6,4,5,1,3,4,4,2,0,12,0
