,county,land_area,population,under_5,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,over_84,median_age,male_median_age,female_median_age,pop_over_21,male_over_21,female_over_21,white,black,american_indian,asian,hawaiian_pacific_islander,other_race,multiple_races,latinx,head_of_household,has_child,average_HH_size,owned_housing,rented_housing
0,marshall,1482770678,40648,2866,2801,2821,2891,2297,2381,2265,2220,2363,2748,2996,2870,2452,1818,1417,1198,1075,1169,39.6,38.2,40.8,28768,14238,14530,36071,679,186,536,50,830,108,6332,8096,9139,2.53,29497,9776
1,benton,1855117342,26076,1645,1851,1882,1864,1085,1314,1505,1575,1895,2225,2130,1697,1393,1144,849,764,588,670,40.9,40.0,41.7,18603,9126,9477,25569,102,45,66,2,239,69,190,6138,6225,2.5,21470,4293
2,clay,1469139214,16667,1078,1042,1047,1039,801,988,985,898,932,1189,1344,1262,996,731,633,567,536,599,42.5,40.4,44.6,12306,5935,6371,16077,69,38,99,1,187,38,337,3722,3612,2.26,12140,4293
3,shelby,1530110414,12167,684,781,855,798,457,492,555,643,739,983,989,891,760,579,527,488,440,506,45.4,44.5,46.3,8963,4336,4627,11909,32,28,46,2,82,39,157,2846,2687,2.35,9515,2432
4,clayton,2016405612,18129,1122,1130,1175,1154,785,886,838,961,1003,1372,1606,1405,1188,907,768,681,551,597,45.0,44.1,46.0,13371,6641,6730,17731,61,20,42,17,148,28,233,4205,3947,2.35,14178,3664
5,jackson,1647332960,19848,1122,1241,1368,1353,837,987,979,1038,1302,1631,1630,1439,1228,1048,812,752,515,566,44.0,42.9,45.0,14608,7143,7465,19339,61,40,47,89,205,61,137,4544,4285,2.37,15480,4167
6,hamilton,1493777716,15673,972,988,1155,975,699,844,853,909,950,1232,1240,1056,965,677,594,548,493,523,42.3,40.6,44.2,11434,5586,5848,14703,50,33,311,0,214,62,669,3483,3478,2.37,11802,3673
7,taylor,1377618597,6317,374,411,426,377,269,348,316,318,345,466,457,477,406,341,267,233,221,265,44.6,43.3,46.1,4674,2305,2369,6068,14,9,17,3,59,20,333,1463,1344,2.32,4902,1319
8,muscatine,1133040484,42745,3069,3076,3116,3013,2312,2616,2551,2640,2793,3190,3172,2924,2430,1742,1318,1009,872,902,38.2,36.9,39.3,29992,14674,15318,38061,606,133,350,13,813,136,5734,8789,9922,2.57,32333,9859
9,wright,1503286817,13229,854,840,848,849,592,686,653,665,717,936,1021,1014,785,624,563,545,496,541,44.4,42.5,46.0,9730,4778,4952,12545,57,20,33,6,209,52,1072,2923,2864,2.32,9744,3287
