Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-03347100024,02/20/2017,3829,Gary's Foods / Mt Vernon,715  1st Ave S,Mount Vernon,52314,POINT (-91.422487 41.916708),57,LINN,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69636,Dr. Mcgillicuddy's Cherry Schnapps,12,750,8.66,12.99,4,51.96,3.00,0.79
INV-03291100020,02/15/2017,5262,7-Eleven # 34464Z,3232 Utica Ridge Rd.,Bettendorf,52722,POINT (-90.517616 41.555257),82,SCOTT,1031100,American Vodkas,055,SAZERAC NORTH AMERICA,35316,Barton Vodka,12,750,3.37,5.06,12,60.72,9.00,2.38
INV-03368200007,02/20/2017,4006,Larchwood Offsale,913 Brown St Po Box 326,Larchwood,51241,POINT (-96.435452 43.453843),60,LYON,1011400,Tennessee Whiskies,085,Brown Forman Corp.,26827,Jack Daniels Old #7 Black Lbl,12,1000,18.89,28.34,12,340.08,12.00,3.17
INV-03378400004,02/21/2017,4636,Kwik Shop #561 / Cedar Rapids,2904 Center Point Rd NE,Cedar Rapids,52402,POINT (-91.662822 42.007194),57,LINN,1031100,American Vodkas,434,LUXCO INC,36301,Hawkeye Vodka 80 Prf Mini,12,500,4.13,6.20,12,74.40,6.00,1.59
INV-03285600002,02/15/2017,4509,A J'S LIQUOR II,2515 Chamberlain,Ames,50010,POINT (-93.650838 42.021461),85,STORY,1062200,White Rum,434,LUXCO INC,45277,Paramount White Rum,12,1000,4.42,6.63,12,79.56,12.00,3.17
INV-03317500052,02/16/2017,2535,Hy-Vee Food Store #1 / WDM,1700 Valley West Dr,West Des Moines,50265,,77,POLK,1051100,American Brandies,205,E & J Gallo Winery,52596,E & J Vs,12,750,6.00,9.00,12,108.00,9.00,2.38
INV-03277000019,02/15/2017,3732,North Scott Foods,425 E Leclaire Rd,Eldridge,52748,POINT (-90.577311 41.654695000000004),82,SCOTT,1062400,Spiced Rum,260,DIAGEO AMERICAS,43285,Captain Morgan Original Spiced Rum Pet,12,750,9.06,13.59,12,163.08,9.00,2.38
INV-03342700044,02/20/2017,4203,Liquor and Tobacco Outlet /,620 W Bremer Ave,Waverly,50677,POINT (-92.47898 42.725694),9,BREMER,1011200,Straight Bourbon Whiskies,065,Jim Beam Brands,19061,Jim Beam Mini,12,500,5.40,8.10,1,8.10,0.50,0.13
INV-03290500091,02/15/2017,2548,Hy-Vee Food Store / Altoona,100 8th Street SW,Altoona,50009,POINT (-93.465301 41.644041),77,POLK,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65256,Jagermeister Liqueur,12,750,12.45,18.68,12,216.96,9.00,2.38
INV-03377400007,02/21/2017,4950,Kum & Go #514 / Cedar Rapids,1420 Mt Vernon Rd,Cedar Rapids,52403,POINT (-91.651424 41.97769),57,LINN,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11774,Black Velvet,24,375,3.07,4.61,12,55.32,4.50,1.19
