"GEOID10,C,5","NAMELSAD10,C,100","FUNCSTAT10,C,1","ALAND10,N,19,11","AWATER10,N,19,11","INTPTLAT10,C,11","INTPTLON10,C,12","DP0010001,N,9,0","DP0010002,N,9,0","DP0010003,N,9,0","DP0010004,N,9,0","DP0010005,N,9,0","DP0010006,N,9,0","DP0010007,N,9,0","DP0010008,N,9,0","DP0010009,N,9,0","DP0010010,N,9,0","DP0010011,N,9,0","DP0010012,N,9,0","DP0010013,N,9,0","DP0010014,N,9,0","DP0010015,N,9,0","DP0010016,N,9,0","DP0010017,N,9,0","DP0010018,N,9,0","DP0010019,N,9,0","DP0010020,N,9,0","DP0010021,N,9,0","DP0010022,N,9,0","DP0010023,N,9,0","DP0010024,N,9,0","DP0010025,N,9,0","DP0010026,N,9,0","DP0010027,N,9,0","DP0010028,N,9,0","DP0010029,N,9,0","DP0010030,N,9,0","DP0010031,N,9,0","DP0010032,N,9,0","DP0010033,N,9,0","DP0010034,N,9,0","DP0010035,N,9,0","DP0010036,N,9,0","DP0010037,N,9,0","DP0010038,N,9,0","DP0010039,N,9,0","DP0010040,N,9,0","DP0010041,N,9,0","DP0010042,N,9,0","DP0010043,N,9,0","DP0010044,N,9,0","DP0010045,N,9,0","DP0010046,N,9,0","DP0010047,N,9,0","DP0010048,N,9,0","DP0010049,N,9,0","DP0010050,N,9,0","DP0010051,N,9,0","DP0010052,N,9,0","DP0010053,N,9,0","DP0010054,N,9,0","DP0010055,N,9,0","DP0010056,N,9,0","DP0010057,N,9,0","DP0020001,N,19,11","DP0020002,N,19,11","DP0020003,N,19,11","DP0030001,N,9,0","DP0030002,N,9,0","DP0030003,N,9,0","DP0040001,N,9,0","DP0040002,N,9,0","DP0040003,N,9,0","DP0050001,N,9,0","DP0050002,N,9,0","DP0050003,N,9,0","DP0060001,N,9,0","DP0060002,N,9,0","DP0060003,N,9,0","DP0070001,N,9,0","DP0070002,N,9,0","DP0070003,N,9,0","DP0080001,N,9,0","DP0080002,N,9,0","DP0080003,N,9,0","DP0080004,N,9,0","DP0080005,N,9,0","DP0080006,N,9,0","DP0080007,N,9,0","DP0080008,N,9,0","DP0080009,N,9,0","DP0080010,N,9,0","DP0080011,N,9,0","DP0080012,N,9,0","DP0080013,N,9,0","DP0080014,N,9,0","DP0080015,N,9,0","DP0080016,N,9,0","DP0080017,N,9,0","DP0080018,N,9,0","DP0080019,N,9,0","DP0080020,N,9,0","DP0080021,N,9,0","DP0080022,N,9,0","DP0080023,N,9,0","DP0080024,N,9,0","DP0090001,N,9,0","DP0090002,N,9,0","DP0090003,N,9,0","DP0090004,N,9,0","DP0090005,N,9,0","DP0090006,N,9,0","DP0100001,N,9,0","DP0100002,N,9,0","DP0100003,N,9,0","DP0100004,N,9,0","DP0100005,N,9,0","DP0100006,N,9,0","DP0100007,N,9,0","DP0110001,N,9,0","DP0110002,N,9,0","DP0110003,N,9,0","DP0110004,N,9,0","DP0110005,N,9,0","DP0110006,N,9,0","DP0110007,N,9,0","DP0110008,N,9,0","DP0110009,N,9,0","DP0110010,N,9,0","DP0110011,N,9,0","DP0110012,N,9,0","DP0110013,N,9,0","DP0110014,N,9,0","DP0110015,N,9,0","DP0110016,N,9,0","DP0110017,N,9,0","DP0120001,N,9,0","DP0120002,N,9,0","DP0120003,N,9,0","DP0120004,N,9,0","DP0120005,N,9,0","DP0120006,N,9,0","DP0120007,N,9,0","DP0120008,N,9,0","DP0120009,N,9,0","DP0120010,N,9,0","DP0120011,N,9,0","DP0120012,N,9,0","DP0120013,N,9,0","DP0120014,N,9,0","DP0120015,N,9,0","DP0120016,N,9,0","DP0120017,N,9,0","DP0120018,N,9,0","DP0120019,N,9,0","DP0120020,N,9,0","DP0130001,N,9,0","DP0130002,N,9,0","DP0130003,N,9,0","DP0130004,N,9,0","DP0130005,N,9,0","DP0130006,N,9,0","DP0130007,N,9,0","DP0130008,N,9,0","DP0130009,N,9,0","DP0130010,N,9,0","DP0130011,N,9,0","DP0130012,N,9,0","DP0130013,N,9,0","DP0130014,N,9,0","DP0130015,N,9,0","DP0140001,N,9,0","DP0150001,N,9,0","DP0160001,N,19,11","DP0170001,N,19,11","DP0180001,N,9,0","DP0180002,N,9,0","DP0180003,N,9,0","DP0180004,N,9,0","DP0180005,N,9,0","DP0180006,N,9,0","DP0180007,N,9,0","DP0180008,N,9,0","DP0180009,N,9,0","DP0190001,N,19,11","DP0200001,N,19,11","DP0210001,N,9,0","DP0210002,N,9,0","DP0210003,N,9,0","DP0220001,N,9,0","DP0220002,N,9,0","DP0230001,N,19,11","DP0230002,N,19,11","Shape_Leng,N,19,11","Shape_Area,N,19,11"
19127,Marshall County,A,1482770678,1803086,+42.0416910,-092.9814523,40648,2866,2801,2821,2891,2297,2381,2265,2220,2363,2748,2996,2870,2452,1818,1417,1198,1075,1169,20428,1497,1432,1479,1490,1230,1248,1143,1108,1205,1376,1471,1473,1267,910,685,538,443,433,20220,1369,1369,1342,1401,1067,1133,1122,1112,1158,1372,1525,1397,1185,908,732,660,632,736,39.6,38.2,40.8,31560,15713,15847,30344,15071,15273,28768,14238,14530,8103,3738,4365,6677,3009,3668,40648,39818,36071,679,186,536,95,52,46,3,35,37,268,50,6,10,7,27,2296,830,108,108,211,263,36805,963,334,689,71,2653,40648,7017,6332,81,16,588,33631,40648,7017,4264,50,82,10,11,2263,337,33631,31807,629,104,526,39,33,493,40648,39273,15538,8096,11489,9139,2072,903,169,2078,234,86,1075,1375,1225,831,394,150,94,56,15538,10452,4538,8096,3067,763,433,1593,1038,5086,4218,1860,446,2358,1333,5013,4302,2.53,3.07,16831,15538,1293,360,28,265,77,81,482,2.3,7.9,15538,11393,4145,29497,9776,2.59,2.36,1.62450670616,0.161412595144
19011,Benton County,A,1855117342,5760770,+42.0925474,-092.0576300,26076,1645,1851,1882,1864,1085,1314,1505,1575,1895,2225,2130,1697,1393,1144,849,764,588,670,13027,844,921,999,1002,557,667,741,781,914,1133,1122,893,697,544,419,352,242,199,13049,801,930,883,862,528,647,764,794,981,1092,1008,804,696,600,430,412,346,471,40.9,40,41.7,20295,10045,10250,19430,9591,9839,18603,9126,9477,4851,2184,2667,4015,1756,2259,26076,25837,25569,102,45,66,12,17,4,1,13,2,17,2,1,0,0,1,53,239,69,29,99,22,25802,208,126,98,8,85,26076,275,190,18,0,67,25801,26076,275,182,9,4,0,0,48,32,25801,25387,93,41,66,2,5,207,26076,25763,10302,6138,7640,6225,639,266,81,1044,149,51,627,313,224,74,150,89,47,42,10302,7373,3227,6138,2450,441,276,794,501,2929,2470,1162,305,1308,843,3428,2745,2.5,2.96,11095,10302,793,174,13,146,37,109,314,1.7,8,10302,8323,1979,21470,4293,2.58,2.17,1.80709329504,0.202466337594
19041,Clay County,A,1469139214,13866941,+43.0798220,-095.1497261,16667,1078,1042,1047,1039,801,988,985,898,932,1189,1344,1262,996,731,633,567,536,599,8171,549,508,537,558,416,517,498,457,482,584,681,618,492,355,293,232,213,181,8496,529,534,510,481,385,471,487,441,450,605,663,644,504,376,340,335,323,418,42.5,40.4,44.6,13292,6468,6824,12837,6224,6613,12306,5935,6371,3635,1554,2081,3066,1274,1792,16667,16480,16077,69,38,99,4,10,13,2,24,7,39,1,0,0,0,1,196,187,38,34,61,41,16256,136,82,140,6,239,16667,477,337,22,5,113,16190,16667,477,234,1,2,1,1,195,43,16190,15843,68,36,98,0,1,144,16667,16433,7282,3722,4345,3612,317,134,35,767,82,23,468,234,208,67,141,26,19,7,7282,4596,1919,3722,1314,275,176,599,429,2686,2306,993,259,1313,797,2023,2124,2.26,2.82,8062,7282,780,251,10,87,24,86,322,1.7,10.5,7282,5144,2138,12140,4293,2.36,2.01,1.63946947959,0.163929925065
19165,Shelby County,A,1530110414,1486135,+41.6790143,-095.3089173,12167,684,781,855,798,457,492,555,643,739,983,989,891,760,579,527,488,440,506,5942,346,424,429,361,238,248,269,322,368,473,540,436,385,290,246,204,188,175,6225,338,357,426,437,219,244,286,321,371,510,449,455,375,289,281,284,252,331,45.4,44.5,46.3,9671,4667,5004,9301,4515,4786,8963,4336,4627,2991,1318,1673,2540,1103,1437,12167,12085,11909,32,28,46,8,9,6,7,7,6,3,2,0,1,1,0,68,82,39,15,18,3,11991,53,70,61,5,73,12167,219,157,6,11,45,11948,12167,219,146,1,4,0,2,61,5,11948,11763,31,24,46,0,7,77,12167,11947,5085,2846,3258,2687,247,114,29,511,63,27,279,220,218,75,143,2,0,2,5085,3374,1332,2846,993,151,101,377,238,1711,1482,673,206,809,544,1410,1680,2.35,2.88,5542,5085,457,86,6,80,29,37,219,2,7,5085,3948,1137,9515,2432,2.41,2.14,1.75047388681,0.165627892864
19043,Clayton County,A,2016405612,36586071,+42.8409979,-091.3235108,18129,1122,1130,1175,1154,785,886,838,961,1003,1372,1606,1405,1188,907,768,681,551,597,9079,571,559,629,583,402,462,422,514,499,681,827,734,616,466,363,318,232,201,9050,551,571,546,571,383,424,416,447,504,691,779,671,572,441,405,363,319,396,45,44.1,46,14468,7198,7270,13925,6930,6995,13371,6641,6730,4207,1936,2271,3504,1580,1924,18129,17981,17731,61,20,42,3,8,13,0,8,0,10,17,7,6,0,4,110,148,28,23,35,25,17872,99,60,74,43,135,18129,306,233,7,6,60,17823,18129,306,168,1,7,0,0,108,22,17823,17563,60,13,42,17,2,126,18129,17842,7599,4205,4871,3947,369,146,54,798,107,64,463,287,219,88,131,68,39,29,7599,5020,1921,4205,1431,326,198,489,292,2579,2198,1055,297,1143,743,2056,2401,2.35,2.88,8999,7599,1400,174,15,113,30,756,312,1.9,8.8,7599,5819,1780,14178,3664,2.44,2.06,2.20179748392,0.22607271974
19097,Jackson County,A,1647332960,35141529,+42.1642812,-090.5745965,19848,1122,1241,1368,1353,837,987,979,1038,1302,1631,1630,1439,1228,1048,812,752,515,566,9846,544,642,737,705,431,504,499,521,647,819,809,748,612,493,415,324,209,187,10002,578,599,631,648,406,483,480,517,655,812,821,691,616,555,397,428,306,379,44,42.9,45,15828,7773,8055,15243,7482,7761,14608,7143,7465,4424,1982,2442,3693,1628,2065,19848,19643,19339,61,40,47,12,5,18,2,6,1,3,89,1,2,1,85,67,205,61,20,64,24,19525,138,115,79,109,97,19848,220,137,27,8,48,19628,19848,220,116,3,3,0,1,65,32,19628,19223,58,37,47,88,2,173,19848,19647,8289,4544,5493,4285,479,191,74,842,129,29,519,201,179,62,117,22,9,13,8289,5576,2244,4544,1584,331,198,701,462,2713,2342,1082,310,1260,818,2392,2560,2.37,2.89,9415,8289,1126,173,21,151,34,481,266,2.3,7.9,8289,6299,1990,15480,4167,2.46,2.09,2.07651479048,0.183316350955
19079,Hamilton County,A,1493777716,1965344,+42.3907681,-093.7091980,15673,972,988,1155,975,699,844,853,909,950,1232,1240,1056,965,677,594,548,493,523,7792,491,509,608,521,369,458,408,481,478,647,637,509,473,330,260,223,225,165,7881,481,479,547,454,330,386,445,428,472,585,603,547,492,347,334,325,268,358,42.3,40.6,44.2,12354,6079,6275,11904,5836,6068,11434,5586,5848,3395,1472,1923,2835,1203,1632,15673,15459,14703,50,33,311,22,20,11,3,8,1,246,0,0,0,0,0,362,214,62,39,47,38,14906,116,112,360,5,408,15673,782,669,25,3,85,14891,15673,782,359,10,7,0,0,354,52,14891,14344,40,26,311,0,8,162,15673,15475,6540,3483,4289,3478,440,185,49,723,102,25,434,198,189,68,121,9,6,3,6540,4312,1771,3483,1239,282,188,547,344,2228,1909,900,216,1009,632,1916,1925,2.37,2.9,7219,6540,679,187,15,117,36,58,266,2.4,9.7,6540,4818,1722,11802,3673,2.45,2.13,1.71346374141,0.163512000917
19173,Taylor County,A,1377618597,7133648,+40.7379489,-094.6971082,6317,374,411,426,377,269,348,316,318,345,466,457,477,406,341,267,233,221,265,3147,196,218,220,185,130,192,159,152,197,220,231,239,219,171,125,100,99,94,3170,178,193,206,192,139,156,157,166,148,246,226,238,187,170,142,133,122,171,44.6,43.3,46.1,5016,2467,2549,4841,2398,2443,4674,2305,2369,1571,724,847,1327,589,738,6317,6258,6068,14,9,17,2,0,3,1,5,2,4,3,0,3,0,0,147,59,20,6,12,16,6124,28,31,23,6,166,6317,364,333,1,2,28,5953,6317,364,196,2,0,0,3,147,16,5953,5872,12,9,17,0,0,43,6317,6221,2679,1463,1583,1344,208,99,18,288,32,24,176,96,96,29,67,0,0,0,2679,1747,676,1463,494,104,76,180,106,932,796,384,131,412,275,734,896,2.32,2.86,3107,2679,428,43,4,50,26,72,233,2.3,6.5,2679,2063,616,4902,1319,2.38,2.14,1.57197270245,0.147626920519
19139,Muscatine County,A,1133040484,30198875,+41.4837760,-091.1186992,42745,3069,3076,3116,3013,2312,2616,2551,2640,2793,3190,3172,2924,2430,1742,1318,1009,872,902,21227,1524,1625,1598,1566,1214,1324,1285,1279,1400,1597,1594,1481,1227,830,599,456,358,270,21518,1545,1451,1518,1447,1098,1292,1266,1361,1393,1593,1578,1443,1203,912,719,553,514,632,38.2,36.9,39.3,32885,16143,16742,31581,15472,16109,29992,14674,15318,7260,3243,4017,5843,2513,3330,42745,41932,38061,606,133,350,75,48,37,2,37,29,122,13,0,1,2,10,2769,813,136,79,168,327,38826,823,330,466,37,3131,42745,6803,5734,191,15,863,35942,42745,6803,3543,61,57,16,0,2728,398,35942,34518,545,76,334,13,41,415,42745,42192,16412,8789,12554,9922,2049,893,229,2388,305,73,1318,553,444,196,248,109,67,42,16412,11458,5165,8789,3475,897,522,1772,1168,4954,4025,1838,427,2187,1224,5702,4059,2.57,3.04,17910,16412,1498,434,24,245,80,243,472,1.9,9.4,16412,12258,4154,32333,9859,2.64,2.37,1.64740187235,0.125407939224
19197,Wright County,A,1503286817,4703964,+42.7330073,-093.7347352,13229,854,840,848,849,592,686,653,665,717,936,1021,1014,785,624,563,545,496,541,6575,398,437,436,468,313,360,330,331,390,458,536,543,384,302,269,249,194,177,6654,456,403,412,381,279,326,323,334,327,478,485,471,401,322,294,296,302,364,44.4,42.5,46,10522,5218,5304,10143,5001,5142,9730,4778,4952,3237,1416,1821,2769,1191,1578,13229,13020,12545,57,20,33,3,2,9,4,9,4,2,6,0,6,0,0,359,209,52,36,32,75,12745,93,76,69,13,445,13229,1274,1072,18,0,184,11955,13229,1274,807,17,0,0,3,354,93,11955,11738,40,20,33,3,5,116,13229,13031,5625,2923,3452,2864,347,133,32,684,84,29,402,198,159,59,100,39,25,14,5625,3641,1479,2923,992,254,163,464,324,1984,1719,778,219,941,652,1590,1881,2.32,2.85,6529,5625,904,176,10,119,19,203,377,2.8,10.5,5625,4134,1491,9744,3287,2.36,2.2,1.6459419947,0.165762894756
