date,county,num_alc_accidents
2012-01-08,dallas,1
2012-01-08,iowa,1
2012-01-08,johnson,1
2012-01-08,page,1
2012-01-08,palo alto,1
2012-01-08,polk,2
2012-01-08,webster,1
2012-01-22,adams,1
2012-01-22,black hawk,6
2012-01-22,bremer,1
2012-01-22,buena vista,1
2012-01-22,clinton,1
2012-01-22,crawford,2
2012-01-22,des moines,3
2012-01-22,dickinson,1
2012-01-22,dubuque,1
2012-01-22,emmet,1
2012-01-22,greene,1
2012-01-22,harrison,1
2012-01-22,ida,1
2012-01-22,jasper,2
2012-01-22,johnson,3
2012-01-22,kossuth,1
2012-01-22,lee,2
2012-01-22,linn,4
2012-01-22,mahaska,1
2012-01-22,monroe,1
2012-01-22,polk,12
2012-01-22,pottawattamie,1
2012-01-22,poweshiek,1
2012-01-22,scott,3
2012-01-22,story,1
2012-01-22,taylor,1
2012-01-22,union,1
2012-01-22,washington,1
2012-01-22,webster,1
2012-01-22,woodbury,6
2012-02-05,benton,1
2012-02-05,black hawk,3
2012-02-05,boone,2
2012-02-05,cass,1
2012-02-05,cedar,1
2012-02-05,clarke,1
2012-02-05,clay,1
2012-02-05,clinton,1
2012-02-05,dallas,2
2012-02-05,des moines,1
2012-02-05,dickinson,1
2012-02-05,dubuque,6
2012-02-05,fremont,2
2012-02-05,howard,1
2012-02-05,humboldt,1
2012-02-05,iowa,1
2012-02-05,jackson,1
2012-02-05,jasper,3
2012-02-05,johnson,2
2012-02-05,jones,1
2012-02-05,lee,1
2012-02-05,linn,6
2012-02-05,louisa,1
2012-02-05,marion,1
2012-02-05,marshall,1
2012-02-05,monona,1
2012-02-05,muscatine,1
2012-02-05,obrien,1
2012-02-05,polk,11
2012-02-05,pottawattamie,8
2012-02-05,poweshiek,1
2012-02-05,scott,4
2012-02-05,shelby,1
2012-02-05,story,2
2012-02-05,wapello,1
2012-02-05,winneshiek,1
2012-02-05,woodbury,4
2012-02-19,adams,1
2012-02-19,benton,1
2012-02-19,black hawk,2
2012-02-19,buchanan,1
2012-02-19,cass,1
2012-02-19,cedar,1
2012-02-19,cherokee,1
2012-02-19,clayton,1
2012-02-19,clinton,3
2012-02-19,crawford,2
2012-02-19,dallas,1
2012-02-19,delaware,1
2012-02-19,des moines,1
2012-02-19,dubuque,1
2012-02-19,emmet,1
2012-02-19,hancock,1
2012-02-19,harrison,1
2012-02-19,henry,1
2012-02-19,ida,1
2012-02-19,iowa,2
2012-02-19,jasper,1
2012-02-19,jefferson,2
2012-02-19,johnson,2
2012-02-19,lee,2
2012-02-19,linn,5
2012-02-19,louisa,1
2012-02-19,mahaska,1
2012-02-19,marion,1
2012-02-19,mills,1
2012-02-19,monroe,1
2012-02-19,obrien,1
2012-02-19,plymouth,2
2012-02-19,polk,5
2012-02-19,pottawattamie,2
2012-02-19,scott,10
2012-02-19,shelby,1
2012-02-19,sioux,1
2012-02-19,union,1
2012-02-19,wapello,3
2012-02-19,warren,1
2012-02-19,webster,1
2012-02-19,winneshiek,2
2012-02-19,woodbury,5
2012-03-04,benton,2
2012-03-04,black hawk,4
2012-03-04,boone,1
2012-03-04,bremer,1
2012-03-04,butler,1
2012-03-04,cerro gordo,3
2012-03-04,clinton,1
2012-03-04,des moines,3
2012-03-04,dubuque,2
2012-03-04,franklin,1
2012-03-04,greene,1
2012-03-04,harrison,1
2012-03-04,henry,2
2012-03-04,jackson,1
2012-03-04,johnson,3
2012-03-04,kossuth,1
2012-03-04,lee,1
2012-03-04,linn,3
2012-03-04,marion,2
2012-03-04,marshall,2
2012-03-04,muscatine,2
2012-03-04,obrien,1
2012-03-04,polk,9
2012-03-04,pottawattamie,6
2012-03-04,scott,4
2012-03-04,story,2
2012-03-04,tama,1
2012-03-04,wapello,4
2012-03-04,warren,1
2012-03-04,washington,1
2012-03-04,webster,1
2012-03-04,woodbury,8
2012-03-18,adams,1
2012-03-18,black hawk,2
2012-03-18,bremer,2
2012-03-18,carroll,1
2012-03-18,clinton,1
2012-03-18,crawford,1
2012-03-18,dallas,1
2012-03-18,davis,1
2012-03-18,delaware,1
2012-03-18,des moines,1
2012-03-18,dubuque,2
2012-03-18,emmet,1
2012-03-18,floyd,1
2012-03-18,greene,1
2012-03-18,hamilton,1
2012-03-18,jasper,1
2012-03-18,jefferson,2
2012-03-18,johnson,2
2012-03-18,jones,1
2012-03-18,linn,4
2012-03-18,madison,2
2012-03-18,marshall,1
2012-03-18,mills,1
2012-03-18,muscatine,1
2012-03-18,osceola,1
2012-03-18,polk,16
2012-03-18,pottawattamie,1
2012-03-18,scott,7
2012-03-18,story,3
2012-03-18,union,1
2012-03-18,van buren,1
2012-03-18,wapello,2
2012-03-18,warren,1
2012-03-18,washington,1
2012-03-18,woodbury,4
2012-04-01,benton,1
2012-04-01,black hawk,7
2012-04-01,cass,2
2012-04-01,clay,1
2012-04-01,clayton,1
2012-04-01,clinton,2
2012-04-01,dallas,1
2012-04-01,decatur,1
2012-04-01,des moines,1
2012-04-01,dickinson,3
2012-04-01,dubuque,7
2012-04-01,emmet,1
2012-04-01,henry,1
2012-04-01,jackson,2
2012-04-01,jasper,2
2012-04-01,johnson,2
2012-04-01,jones,1
2012-04-01,kossuth,1
2012-04-01,lee,2
2012-04-01,linn,4
2012-04-01,mahaska,1
2012-04-01,marshall,1
2012-04-01,mills,1
2012-04-01,monona,1
2012-04-01,muscatine,2
2012-04-01,obrien,1
2012-04-01,plymouth,1
2012-04-01,polk,19
2012-04-01,pottawattamie,4
2012-04-01,scott,7
2012-04-01,story,1
2012-04-01,taylor,1
2012-04-01,union,2
2012-04-01,wapello,1
2012-04-01,wayne,1
2012-04-01,woodbury,4
2012-04-15,allamakee,1
2012-04-15,black hawk,3
2012-04-15,boone,1
2012-04-15,buchanan,1
2012-04-15,buena vista,1
2012-04-15,clayton,1
2012-04-15,clinton,3
2012-04-15,decatur,1
2012-04-15,des moines,1
2012-04-15,dubuque,2
2012-04-15,greene,1
2012-04-15,guthrie,1
2012-04-15,hamilton,3
2012-04-15,hancock,1
2012-04-15,hardin,1
2012-04-15,henry,1
2012-04-15,humboldt,2
2012-04-15,iowa,1
2012-04-15,jasper,1
2012-04-15,johnson,5
2012-04-15,lee,1
2012-04-15,linn,4
2012-04-15,madison,1
2012-04-15,marshall,1
2012-04-15,mills,1
2012-04-15,monona,1
2012-04-15,muscatine,2
2012-04-15,polk,18
2012-04-15,pottawattamie,3
2012-04-15,poweshiek,1
2012-04-15,sac,1
2012-04-15,scott,5
2012-04-15,story,2
2012-04-15,tama,1
2012-04-15,van buren,1
2012-04-15,wapello,2
2012-04-15,warren,2
2012-04-15,washington,1
2012-04-15,webster,1
2012-04-15,winneshiek,2
2012-04-15,woodbury,4
2012-04-29,black hawk,7
2012-04-29,boone,1
2012-04-29,bremer,1
2012-04-29,carroll,1
2012-04-29,cedar,1
2012-04-29,cerro gordo,2
2012-04-29,cherokee,1
2012-04-29,chickasaw,1
2012-04-29,clinton,4
2012-04-29,delaware,1
2012-04-29,des moines,3
2012-04-29,dickinson,1
2012-04-29,dubuque,4
2012-04-29,fayette,1
2012-04-29,greene,1
2012-04-29,humboldt,1
2012-04-29,johnson,2
2012-04-29,lee,1
2012-04-29,linn,3
2012-04-29,marion,2
2012-04-29,marshall,1
2012-04-29,mills,1
2012-04-29,obrien,1
2012-04-29,osceola,1
2012-04-29,page,2
2012-04-29,plymouth,1
2012-04-29,polk,16
2012-04-29,pottawattamie,7
2012-04-29,scott,3
2012-04-29,story,4
2012-04-29,wapello,1
2012-04-29,warren,2
2012-04-29,webster,3
2012-04-29,winneshiek,2
2012-04-29,woodbury,7
2012-05-13,black hawk,3
2012-05-13,boone,1
2012-05-13,calhoun,1
2012-05-13,carroll,1
2012-05-13,cerro gordo,2
2012-05-13,chickasaw,1
2012-05-13,des moines,1
2012-05-13,dubuque,1
2012-05-13,floyd,1
2012-05-13,franklin,2
2012-05-13,fremont,1
2012-05-13,iowa,1
2012-05-13,jackson,2
2012-05-13,johnson,5
2012-05-13,kossuth,1
2012-05-13,linn,6
2012-05-13,mahaska,1
2012-05-13,marshall,1
2012-05-13,mills,2
2012-05-13,muscatine,1
2012-05-13,obrien,1
2012-05-13,page,1
2012-05-13,plymouth,2
2012-05-13,polk,12
2012-05-13,pottawattamie,7
2012-05-13,sac,2
2012-05-13,scott,5
2012-05-13,shelby,1
2012-05-13,sioux,2
2012-05-13,story,3
2012-05-13,tama,1
2012-05-13,union,1
2012-05-13,wapello,2
2012-05-13,warren,1
2012-05-13,webster,1
2012-05-13,winnebago,1
2012-05-13,woodbury,5
